H_A_per_m,B_T
-4.556766196314129047e+00,9.044939843084572884e-01
-4.572480741742765531e+00,9.041295401968914014e-01
-4.588184067033580504e+00,9.037650896746528550e-01
-4.603876182663952932e+00,9.034006327772214906e-01
-4.619557099067606032e+00,9.030361695407986833e-01
-4.635226826678263023e+00,9.026717000012938197e-01
-4.650885375929647125e+00,9.023072241943234095e-01
-4.666532757211825810e+00,9.019427421562286051e-01
-4.682168980958522297e+00,9.015782539220414948e-01
-4.697794057559804060e+00,9.012137595275180324e-01
-4.713407997405738570e+00,9.008492590081228490e-01
-4.729010810842737556e+00,9.004847524000477721e-01
-4.744602508260868490e+00,9.001202397381729003e-01
-4.760183099962887354e+00,8.997557210591281551e-01
-4.775752596295205876e+00,8.993911963982322844e-01
-4.791311007560580038e+00,8.990266657915347848e-01
-4.806858344105421565e+00,8.986621292737709821e-01
-4.822394616188830696e+00,8.982975868814323528e-01
-4.837919834069907665e+00,8.979330386507220485e-01
-4.853434008051408455e+00,8.975684846165282726e-01
-4.868937148348777555e+00,8.972039248155000424e-01
-4.884429265264770947e+00,8.968393592819442484e-01
-4.899910368971177377e+00,8.964747880529594370e-01
-4.915380469727097079e+00,8.961102111632999190e-01
-4.930839577704318799e+00,8.957456286494880349e-01
-4.946287703118287027e+00,8.953810405467287348e-01
-4.961724856140790507e+00,8.950164468909678206e-01
-4.977151046943617985e+00,8.946518477178634354e-01
-4.992566285698558204e+00,8.942872430627849534e-01
-5.007970582533744164e+00,8.939226329618461531e-01
-5.023363947577308863e+00,8.935580174508740425e-01
-5.038746390957385302e+00,8.931933965654080820e-01
-5.054117922758450732e+00,8.928287703417355781e-01
-5.069478553108638152e+00,8.924641388148213395e-01
-5.084828292092424817e+00,8.920995020203785764e-01
-5.100167149750632234e+00,8.917348599948707877e-01
-5.115495136167737655e+00,8.913702127734390857e-01
-5.130812261384562589e+00,8.910055603919752043e-01
-5.146118535441928543e+00,8.906409028860854393e-01
-5.161413968380657025e+00,8.902762402910896489e-01
-5.176698570197913796e+00,8.899115726430619766e-01
-5.191972350890864618e+00,8.895468999777925712e-01
-5.207235320413019508e+00,8.891822223318289753e-01
-5.222487488761544228e+00,8.888175397403923483e-01
-5.237728865933604538e+00,8.884528522384168570e-01
-5.252959461839054711e+00,8.880881598626410023e-01
-5.268179286431404762e+00,8.877234626484751256e-01
-5.283388349664164707e+00,8.873587606310437970e-01
-5.298586661447188817e+00,8.869940538462343094e-01
-5.313774231646675617e+00,8.866293423306980115e-01
-5.328951070172479376e+00,8.862646261197566488e-01
-5.344117186934454367e+00,8.858999052484464176e-01
-5.359272591755143367e+00,8.855351797536205050e-01
-5.374417294500744902e+00,8.851704496707997194e-01
-5.389551305037457496e+00,8.848057150352219846e-01
-5.404674633187823929e+00,8.844409758828938317e-01
-5.419787288774386980e+00,8.840762322495396841e-01
-5.434889281619689427e+00,8.837114841706019686e-01
-5.449980621502618305e+00,8.833467316822956050e-01
-5.465061318245716393e+00,8.829819748194982498e-01
-5.480131381584214978e+00,8.826172136189174289e-01
-5.495190821297001094e+00,8.822524481159245147e-01
-5.510239647119306028e+00,8.818876783466663705e-01
